NO,SubNo,分類,スキルカテゴリ,サブカテゴリ,スキルレベル,チェック項目,BZ,DE,必須 スキル,変更内容,column_12,SubNo_2023,スキルレベル_2023,チェック項目_2023,AI活用 （削除予定）,AI活用 タイプ （削除予定）,column_19,column_20,column_21,column_22,column_23,column_24,column_25,column_26,column_27,version,sheet,source_url
78,16,データ課題解決,データの理解・検証,データ理解,★★★,データを入手する前に、存在するであろうデータとその分布を想定して基礎俯瞰の方向性やその結果の想定ができ、それを前提とした解析方法の検討・ラフ設計をすることができる,＊,,,,,18,★★★,データを入手する前に、存在するであろうデータとその分布を想定して基礎俯瞰の方向性やその結果の想定ができ、それを前提とした解析方法の検討・ラフ設計をすることができる,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
79,17,データ課題解決,データの理解・検証,データ理解,★★★,扱ったことのない新たなデータであっても、ER図やテーブル定義、生データなどを見ることによってデータの発生源や欠損値の意味などのあたりをつけられる,＊,＊,,,,19,★★★,扱ったことのない新たなデータであっても、ER図やテーブル定義、生データなどを見ることによってデータの発生源や欠損値の意味などのあたりをつけられる,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
80,18,データ課題解決,データの理解・検証,データ粒度,★★,分析目的とデータの量・質を踏まえて、想定されるメッセージと統計的観点から適切な集計単位やサンプリング率を決定できる,＊,,,,,20,★★,分析目的とデータの量・質を踏まえて、想定されるメッセージと統計的観点から適切な集計単位やサンプリング率を決定できる,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
81,19,データ課題解決,データの理解・検証,データ粒度,★★★,分析目的とデータの量・質に加えて、想定しているメッセージ、深掘りの方向性・可能性、処理負荷、データ処理フローなども総合的に踏まえた最適な集計単位やサンプリング率を決定できる,＊,＊,,,,21,★★★,分析目的とデータの量・質に加えて、想定しているメッセージ、深掘りの方向性・可能性、処理負荷、データ処理フローなども総合的に踏まえた最適な集計単位やサンプリング率を決定できる,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
82,1,解析技術,データ準備,サンプリング,★,標本誤差およびサンプリングバイアス、およびそれぞれの違いについて説明できる,,,◯,,,1,★,標本誤差およびサンプリングバイアス、およびそれぞれの違いについて説明できる,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
83,2,解析技術,データ準備,サンプリング,★,実験計画法の基本的な3原則（局所管理化、反復、無作為化）について説明できる,,,,,,2,★,実験計画法の基本的な3原則（局所管理化、反復、無作為化）について説明できる,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
84,3,解析技術,データ準備,サンプリング,★★,調査対象の母集団の規模・特性や調査コストに応じて、多段階抽出法や層化抽出法など適切な標本抽出方法を計画できる,,,,,,3,★★,調査対象の母集団の規模・特性や調査コストに応じて、多段階抽出法や層化抽出法など適切な標本抽出方法を計画できる,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
85,4,解析技術,データ準備,サンプリング,★★,属性数と水準数が決まれば適切な直交表を選択し実験計画ができる,,,,,,4,★★,属性数と水準数が決まれば適切な直交表を選択し実験計画ができる,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
86,5,解析技術,データ準備,サンプリング,★★,サンプルサイズを見れば信頼水準を95%としたときの標本誤差レベルについて概ね判断できる,,,◯,,,5,★★,サンプルサイズを見れば信頼水準を95%としたときの標本誤差レベルについて概ね判断できる,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
87,6,解析技術,データ準備,データクレンジング,★,外れ値・異常値・欠損値とは何かを理解し、指示のもと適切に検出と除去・変換などの対応ができる,,＊,◯,,,6,★,外れ値・異常値・欠損値とは何かを理解し、指示のもと適切に検出と除去・変換などの対応ができる,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
88,7,解析技術,データ準備,データクレンジング,★★,データの特性（分布、欠損パターン）、分析目的、モデル特性を考慮して、外れ値・異常値・欠損値の対応方針を決定できる,,,◯,修正,,7,★★,各変数の分布・欠損率などをふまえて、外れ値・異常値・欠損値の対応方針を決定できる,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
,8,解析技術,データ準備,データクレンジング,★★,非構造化データ（画像、テキストなど）に対して、品質チェックや不適切コンテンツの検出を行い、データセットのクリーニングができる,,,,新規,,,,,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
89,9,解析技術,データ準備,データ加工,★,標準化とは何かを理解し、適切に標準化が行える,,,◯,,,8,★,標準化とは何かを理解し、適切に標準化が行える,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
90,10,解析技術,データ準備,データ加工,★,名義尺度の変数をダミー変数に変換できる,,,◯,,,9,★,名義尺度の変数をダミー変数に変換できる,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
91,11,解析技術,データ準備,データ加工,★★,加工データに不具合がないか確認方法を設計し、検証できる（合計値の照合や、分布の確認など検証項目の設計と実行）,＊,,◯,,,10,★★,加工データに不具合がないか確認方法を設計し、検証できる（合計値の照合や、分布の確認など検証項目の設計と実行）,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
92,12,解析技術,データ準備,データ加工,★★★,加工データの統計的な俯瞰によって不具合の早期発見ができるとともに、統計的観点で次ステップの解析に耐えうるデータであるか評価できる,,,◯,,,11,★★★,加工データの統計的な俯瞰によって不具合の早期発見ができるとともに、統計的観点で次ステップの解析に耐えうるデータであるか評価できる,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
93,13,解析技術,データ準備,特徴量エンジニアリング,★,数値データの特徴量化（二値化／離散化、対数変換、スケーリング／正規化、交互作用特徴量の作成など）を行うことができる,,＊,,,,12,★,数値データの特徴量化（二値化／離散化、対数変換、スケーリング／正規化、交互作用特徴量の作成など）を行うことができる,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
94,14,解析技術,データ準備,特徴量エンジニアリング,★★,カテゴリデータの特徴量化ができる（ダミー変数化、特徴量ハッシング[カテゴリ数が多い場合の値の割り当て]、ビンカウンティング、バックオフ、最小カウントスケッチ[レアなカテゴリのまとめ処理]など）,,＊,,,,13,★★,カテゴリデータの特徴量化ができる（ダミー変数化、特徴量ハッシング[カテゴリ数が多い場合の値の割り当て]、ビンカウンティング、バックオフ、最小カウントスケッチ[レアなカテゴリのまとめ処理]など）,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
95,15,解析技術,データ準備,特徴量エンジニアリング,★★,k-means、k近傍法、t-SNEなどを用いた、類似度または非類似度に着目した特徴量を作成できる,,,,,,14,★★,k-means、k近傍法、t-SNEなどを用いた、類似度または非類似度に着目した特徴量を作成できる,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
96,16,解析技術,データ準備,特徴量エンジニアリング,★★,周期的な意味合いをもつ特徴量を適切な周期の三角関数を用いて変換できる,,,,,,15,★★,周期的な意味合いをもつ特徴量を適切な周期の三角関数を用いて変換できる,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
97,17,解析技術,データ準備,特徴量エンジニアリング,★★,時系列データに対し周期性やトレンドなどを考慮して、階差、移動平均、移動標準偏差、移動最大、移動最小、ラグなどの特徴量を作成できる,＊,,,,,16,★★,時系列データに対し周期性やトレンドなどを考慮して、階差、移動平均、移動標準偏差、移動最大、移動最小、ラグなどの特徴量を作成できる,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
98,18,解析技術,データ準備,特徴量エンジニアリング,★★,複数のデータセットから、結合や集計などを組み合わせ、有効な特徴量を作成できる（ユーザごとの過去1ヵ月間の購買金額合計など）,＊,,◯,,,17,★★,複数のデータセットから、結合や集計などを組み合わせ、有効な特徴量を作成できる（ユーザごとの過去1ヵ月間の購買金額合計など）,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
,19,解析技術,データ準備,特徴量エンジニアリング,★★,深層学習の手法を活用して特徴量（LLMによるトピック抽出、座標系データのCNNによる変換、Embeddingによるベクトル化など）を生成できる,,,,新規,,,,,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
99,20,解析技術,データ準備,特徴量エンジニアリング,★★★,ドメイン知識に基づく洞察から有効な特徴量を効率的に作成できる（類似商品との価格差、借入額と返済額の比など）,＊,,,,,18,★★★,ドメイン知識に基づく洞察から有効な特徴量を効率的に作成できる（類似商品との価格差、借入額と返済額の比など）,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
100,21,解析技術,データ準備,特徴量エンジニアリング,★★★,有用と思われるデータを新たに調達し、既知のデータと組み合わせることで有効な特徴量を作成できる（業界特有なカレンダー、地理空間的な類似度を考慮した集計値など）,＊,,,,,19,★★★,有用と思われるデータを新たに調達し、既知のデータと組み合わせることで有効な特徴量を作成できる（業界特有なカレンダー、地理空間的な類似度を考慮した集計値など）,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
102,1,解析技術,データ可視化,方向性定義,★,可視化における目的の広がりについて概略を説明できる（単に現場の作業支援する場合から、ビッグデータ中の要素間の関連性をダイナミックに表示する場合など）,＊,,,,,2,★,可視化における目的の広がりについて概略を説明できる（単に現場の作業支援する場合から、ビッグデータ中の要素間の関連性をダイナミックに表示する場合など）,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
103,2,解析技術,データ可視化,方向性定義,★★,可視化の役割・方向性を判別できる - 特異点を明確にする - データ解析部門以外の方にデータの意味を正しく伝える - 現場の作業を支援する など,＊,,,,,3,★★,可視化の役割・方向性を判別できる - 特異点を明確にする - データ解析部門以外の方にデータの意味を正しく伝える - 現場の作業を支援する など,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
104,3,解析技術,データ可視化,方向性定義,★★★,データ量が膨大で構造が捉えにくい場合や、アウトプットが想像しにくい場合であっても、可視化の役割・方向性を判断できる（ビッグデータ中の要素間の関連性をダイナミックに表現する、細部に入りきらずに問に対して答えを出すなど）,,,,,,4,★★★,データ量が膨大で構造が捉えにくい場合や、アウトプットが想像しにくい場合であっても、可視化の役割・方向性を判断できる（ビッグデータ中の要素間の関連性をダイナミックに表現する、細部に入りきらずに問に対して答えを出すなど）,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
105,4,解析技術,データ可視化,軸出し,★,散布図などの軸出しにおいて、目的やデータに応じて縦軸・横軸の候補を適切に洗い出せる,＊,,◯,,,5,★,散布図などの軸出しにおいて、目的やデータに応じて縦軸・横軸の候補を適切に洗い出せる,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
106,5,解析技術,データ可視化,軸出し,★,積み上げ縦棒グラフでの属性の選択など、目的やデータに応じて適切な層化（比較軸）の候補を出せる,＊,,◯,,,6,★,積み上げ縦棒グラフでの属性の選択など、目的やデータに応じて適切な層化（比較軸）の候補を出せる,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
107,6,解析技術,データ可視化,軸出し,★★,抽出したい意味にふさわしい軸・層化の粒度、順番を考慮して軸のきざみや層化方法を選択できる,＊,,◯,,,7,★★,抽出したい意味にふさわしい軸・層化の粒度、順番を考慮して軸のきざみや層化方法を選択できる,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
108,7,解析技術,データ可視化,軸出し,★★,膨大な属性を持つテーブルから目的に有用な属性を選択できる,＊,,,,,8,★★,膨大な属性を持つテーブルから目的に有用な属性を選択できる,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
109,8,解析技術,データ可視化,軸出し,★★★,非構造化データから分析の軸になりうる候補を抽出し、付加すべき属性候補を適切に出せる,＊,,,,,9,★★★,非構造化データから分析の軸になりうる候補を抽出し、付加すべき属性候補を適切に出せる,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
110,9,解析技術,データ可視化,データ加工,★,サンプリングやアンサンブル平均によって適量にデータ量を減らすことができる,＊,,,,,10,★,サンプリングやアンサンブル平均によって適量にデータ量を減らすことができる,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
111,10,解析技術,データ可視化,データ加工,★,読み取りたい特徴を効果的に可視化するために、統計量を使ってデータを加工できる,,,,,,11,★,読み取りたい特徴を効果的に可視化するために、統計量を使ってデータを加工できる,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
112,11,解析技術,データ可視化,データ加工,★★,データの持つ分散量の観点で、高次元のデータを主成分分析（PCA）などにより1～3次元のデータに変換できる,,,◯,,,12,★★,データの持つ分散量の観点で、高次元のデータを主成分分析（PCA）などにより1～3次元のデータに変換できる,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
113,12,解析技術,データ可視化,データ加工,★★★,高次元の非線形な（高次の曲線、渦状の分布などの）データであっても、適切に1～3次元のデータに圧縮して、特徴（データの総分散量および各データの位置関係）を損なわずに可視化できる,,,,,,13,★★★,高次元の非線形な（高次の曲線、渦状の分布などの）データであっても、適切に1～3次元のデータに圧縮して、特徴（データの総分散量および各データの位置関係）を損なわずに可視化できる,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
114,13,解析技術,データ可視化,データ加工,★★★,ネットワーク構造、グラフ構造などの表現において、ノードとエッジが増えすぎて特徴抽出が困難であっても、データの絞り込みや抽象度を上げることで適切に可視化できる,,＊,,,,14,★★★,ネットワーク構造、グラフ構造などの表現において、ノードとエッジが増えすぎて特徴抽出が困難であっても、データの絞り込みや抽象度を上げることで適切に可視化できる,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
115,14,解析技術,データ可視化,データ加工,★★★,データ量が膨大なために、単なる描画が意味をなさない場合でも、データや情報の適度な抽出（間引き）、クラスター分析などにより可視化しうる状態にデータを加工できる,,＊,,修正,,15,★★★,データ量が膨大（ペタバイト以上）なために、処理しきれず描画できない規模のデータに対しても、適度なデータや情報の抽出（間引き）、クラスター分析などにより可視化しうる状態にデータを加工できる,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
116,15,解析技術,データ可視化,データ加工,★★★,リアルタイム性を要求される大規模データに対し、特異点抽出、次元圧縮、ストリーム処理などの技術を適切に選択・適用し、データの収集から可視化までの一連のデータパイプラインを構築できる,,＊,,2023年の117と統合,,16,★★★,大規模なデータへのリアルタイムな可視化が求められる場合であっても、特異点の抽出や次元圧縮を通じてデータを圧縮し、リアルタイム表示できる,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
118,16,解析技術,データ可視化,表現・実装技法,★,データ解析部門以外の方に、データの意味を可視化して伝える重要性を理解している,＊,,◯,,,18,★,データ解析部門以外の方に、データの意味を可視化して伝える重要性を理解している,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
119,17,解析技術,データ可視化,表現・実装技法,★,情報提示の相手や場に応じて適切な情報濃度を判断できる（データインク比の考え方など）,,,,,,19,★,情報提示の相手や場に応じて適切な情報濃度を判断できる（データインク比の考え方など）,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
120,18,解析技術,データ可視化,表現・実装技法,★,不必要な誇張をしないための軸表現の基礎を理解できている（コラムチャートのY軸の基準点は「0」からを原則とし軸を切らないなど）,,,◯,,,20,★,不必要な誇張をしないための軸表現の基礎を理解できている（コラムチャートのY軸の基準点は「0」からを原則とし軸を切らないなど）,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
121,19,解析技術,データ可視化,表現・実装技法,★,強調表現がもたらす効果と、不適切な強調表現を理解している（計量データに対しては位置やサイズ表現が色表現よりも効果的など）,,,◯,修正,,21,★,強調表現がもたらす効果と、明らかに不適切な強調表現を理解している（計量データに対しては位置やサイズ表現が色表現よりも効果的など）,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
122,20,解析技術,データ可視化,表現・実装技法,★,1～3次元の比較において目的（比較、構成、分布、変化など）に応じ、BIツール、スプレッドシートなどを用いて図表化できる,,＊,◯,,,22,★,1～3次元の比較において目的（比較、構成、分布、変化など）に応じ、BIツール、スプレッドシートなどを用いて図表化できる,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
123,21,解析技術,データ可視化,表現・実装技法,★,端的に図表の変化をアニメーションで可視化できる（人口動態のヒストグラムが経年変化する様子を表現するなど）,,,,,,23,★,端的に図表の変化をアニメーションで可視化できる（人口動態のヒストグラムが経年変化する様子を表現するなど）,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
124,22,解析技術,データ可視化,表現・実装技法,★,1～3次元の図表を拡張した多変量の比較を適切に可視化できる（平行座標、散布図行列、テーブルレンズ、ヒートマップなど）,,,,,,24,★,1～3次元の図表を拡張した多変量の比較を適切に可視化できる（平行座標、散布図行列、テーブルレンズ、ヒートマップなど）,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
125,23,解析技術,データ可視化,表現・実装技法,★★,ネットワーク構造、グラフ構造、階層構造などの統計的な関係性の可視化ができる,,＊,,,,25,★★,ネットワーク構造、グラフ構造、階層構造などの統計的な関係性の可視化ができる,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
126,24,解析技術,データ可視化,表現・実装技法,★★,地理空間情報などを地図に重ね合わせた可視化ができる（コロプレスマップ、ボロノイ図など）,,,,,,26,★★,地理空間情報などを地図に重ね合わせた可視化ができる（コロプレスマップ、ボロノイ図など）,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
127,25,解析技術,データ可視化,表現・実装技法,★★,挙動・軌跡の可視化ができる（店舗内でのユーザの回遊やEye tracking、ウェアラブル端末の3軸ジャイロセンサーや心拍数など）,,,,,,27,★★,挙動・軌跡の可視化ができる（店舗内でのユーザの回遊やEye tracking、ウェアラブル端末の3軸ジャイロセンサーや心拍数など）,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
128,26,解析技術,データ可視化,表現・実装技法,★★,適切な情報（意味）を押さえた上で、デザイン性を高めるための要件提示ができる,＊,,,,,28,★★,適切な情報（意味）を押さえた上で、デザイン性を高めるための要件提示ができる,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
129,27,解析技術,データ可視化,表現・実装技法,★★,ドメイン知識とビジネス背景をふまえ、適切な情報項目を参照し、利用者の使い勝手を考慮した可視化したダッシュボードあるいは可視化ツールを設計できる,＊,＊,,,,29,★★,ドメイン知識とビジネス背景をふまえ、適切な情報項目を参照し、利用者の使い勝手を考慮した可視化したダッシュボードあるいは可視化ツールを設計できる,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
130,28,解析技術,データ可視化,表現・実装技法,★★★,人体、標高を持つ地図、球面など３次元空間上にデータを重ね合わせた可視化ができる,,＊,,,,30,★★★,人体、標高を持つ地図、球面など３次元空間上にデータを重ね合わせた可視化ができる,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
131,29,解析技術,データ可視化,表現・実装技法,★★★,地図上で同時に動く数百以上のポイントにおける時間変化を動的に表現できる（多地点での風の動き、飛行物の軌跡など）,,＊,,,,31,★★★,地図上で同時に動く数百以上のポイントにおける時間変化を動的に表現できる（多地点での風の動き、飛行物の軌跡など）,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
132,30,解析技術,データ可視化,表現・実装技法,★★★,複雑で総合的な表現が求められる場合に、ユーザインターフェースの設計に加え、内部のアルゴリズム設計やシステム環境への負荷調整なども踏まえた可視化ができる,,＊,,,,32,★★★,複雑で総合的な表現が求められる場合に、ユーザインターフェースの設計に加え、内部のアルゴリズム設計やシステム環境への負荷調整なども踏まえた可視化ができる,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
133,31,解析技術,データ可視化,意味抽出,★,外れ値を見出すための適切な表現手法を選択できる,,,,,,33,★,外れ値を見出すための適切な表現手法を選択できる,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
134,32,解析技術,データ可視化,意味抽出,★,データの可視化における基本的な視点を挙げることができる（特異点、相違性、傾向性、関連性を見出すなど）,,,◯,,,34,★,データの可視化における基本的な視点を挙げることができる（特異点、相違性、傾向性、関連性を見出すなど）,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
135,33,解析技術,データ可視化,意味抽出,★★,統計値（代表値の指標、バラツキの指標、有意性の指標）を正しく読み、回帰式や移動平均線、関係式に意味付けできる,,,◯,修正,,35,★★,統計値（代表値の指標、バラツキの指標、有意性の指標、関係式）を正しく読み、回帰式や移動平均線に意味付けできる,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
136,34,解析技術,データ可視化,意味抽出,★★★,分類・グルーピングの分析において、分布傾向から原因を追究し、活用方針を計画・主導できる（分類に応じたDM発送による反応率の向上など）,＊,,,,,36,★★★,分類・グルーピングの分析において、分布傾向から原因を追究し、活用方針を計画・主導できる（分類に応じたDM発送による反応率の向上など）,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
137,35,解析技術,データ可視化,意味抽出,★★★,予測の分析において、関連性、特異点、変曲点から原因を追究し、活用方針を計画・主導できる（予測結果に基づく発注管理など）,＊,,,,,37,★★★,予測の分析において、関連性、特異点、変曲点から原因を追究し、活用方針を計画・主導できる（予測結果に基づく発注管理など）,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
138,36,解析技術,データ可視化,意味抽出,★★★,関係性の分析において関連が高い/低い原因を追究し、活用方針を計画・主導できる（レコメンドなど）,＊,,,,,38,★★★,関係性の分析において関連が高い/低い原因を追究し、活用方針を計画・主導できる（レコメンドなど）,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
139,1,解析技術,モデル化,回帰・分類,★,単回帰分析において最小二乗法、回帰係数、標準誤差、決定係数を理解し、モデルを構築できる,,,◯,,,1,★,単回帰分析において最小二乗法、回帰係数、標準誤差、決定係数を理解し、モデルを構築できる,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
140,2,解析技術,モデル化,回帰・分類,★,重回帰分析において偏回帰係数と標準偏回帰係数、重相関係数、自由度調整済み決定係数について説明できる,,,,,,2,★,重回帰分析において偏回帰係数と標準偏回帰係数、重相関係数、自由度調整済み決定係数について説明できる,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
141,3,解析技術,モデル化,回帰・分類,★,線形回帰分析とロジスティック回帰分析のそれぞれが予測する対象の違いを理解し、適切に使い分けられる,,,,,,5,★,線形回帰分析とロジスティック回帰分析のそれぞれが予測する対象の違いを理解し、適切に使い分けられる,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
142,4,解析技術,モデル化,回帰・分類,★★,重回帰分析や判別分析において、各種変数選択手法（ステップワイズ法、ベストサブセット法など）の特徴を理解した上で効果的に適用できる,,,,修正,,3,★★,重回帰分析や判別分析を実行する際に変数選択手法の特徴を理解し、適用できる,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
143,5,解析技術,モデル化,回帰・分類,★★,重回帰分析において多重共線性の評価ができ、適切に変数を統合・加工・削除して予測モデルが構築できる,,,◯,,,4,★★,重回帰分析において多重共線性の評価ができ、適切に変数を統合・加工・削除して予測モデルが構築できる,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
144,6,解析技術,モデル化,回帰・分類,★★,過学習を防止するためにL1正則化（Lasso）、L2正則化（Ridge回帰）、それらを組み合わせたElastic netを適用できる,,,,,,6,★★,過学習を防止するためにL1正則化（Lasso）、L2正則化（Ridge回帰）、それらを組み合わせたElastic netを適用できる,,,,,,,,,,,,6.00,新旧対応（データサイエンス力）,https://www.datascientist.or.jp/common/docs/skillcheck_ver6.00.xlsx
